song_uuid,album_uuid,track_number,song_title,song_singers,song_rating,youtube_url
cabd3913-28ff-519a-8136-a2072d21317a,f47996ba-282f-5662-8175-c210822bc8e1,5,Mainu Tera Shabab Le Baitha,Rev Shergill,3.0,https://www.youtube.com/watch?v=9bP1IXUSj2s
86b6a173-5caf-5bac-8fd8-f21a82a2f867,6ab7c45b-b0c9-5986-9b60-15d75a01817e,1,Dhana Pisaachi,Madhubanti Bagchi,0.0,https://www.youtube.com/watch?v=-aBW7Allm0s
9f5c5d5d-f5f8-5dd9-9fa6-080e2449cbcc,6ab7c45b-b0c9-5986-9b60-15d75a01817e,2,Pallo Latke Again,"Jyotica Tangri, Yasser Desai, Fazilpuria",0.0,https://www.youtube.com/watch?v=AI-YqFTtvcU
722d953d-b890-5e17-a98d-d0a4511f5fdd,6ab7c45b-b0c9-5986-9b60-15d75a01817e,3,Jo Laali Jo,"Pavani Vasa, Rajeev Raj",0.0,https://www.youtube.com/watch?v=dVwfPyfFoGw
d505aa05-80f1-5f36-a1df-87d3ce3c5923,6ab7c45b-b0c9-5986-9b60-15d75a01817e,4,Shiva Stotram,Rajeev Raj,0.0,https://www.youtube.com/watch?v=WbKE0fzesX0
b15ec742-91bd-5653-8ef4-09bf410ee45c,6ab7c45b-b0c9-5986-9b60-15d75a01817e,5,Aane Wali Hai Nindiya,"Hamsika Iyer, Tineke Van Ingelgem",3.0,https://www.youtube.com/watch?v=Y_tRMDxinLo
bea6633e-c4c5-5bd0-9982-b2bf0049476a,6ab7c45b-b0c9-5986-9b60-15d75a01817e,6,Soul Of Jatadhara,Rajeev Raj,0.0,https://www.youtube.com/watch?v=VyZ-Ab4kkx8
6a28c959-061d-5dce-add7-46534e114c1f,eaa47f67-d509-503b-ab37-dbaf68d593a8,1,Jeena Zaroor Hai,Javed Ali,0.0,https://www.youtube.com/watch?v=ykQnrKtLDgY
8891c611-0a45-5f19-b41a-ba815b1e2a59,4927165a-d5fe-598a-824f-2c91f6cc464e,1,Ja Ja Jaadu Sa Mera Hunar,Raghav Chaitanya,3.0,https://www.youtube.com/watch?v=tAjL6yAiJ4c
be5a8f69-474e-50cd-9403-8b692363e30d,4927165a-d5fe-598a-824f-2c91f6cc464e,2,Lutera Hai Woh,"Neuman Pinto, Shilpa Rao",3.0,https://www.youtube.com/watch?v=z-0vdxYnnk0
2e223c8c-b085-540f-93e7-229c90579429,4927165a-d5fe-598a-824f-2c91f6cc464e,3,Ilzaam Ishq Ka Qubool Kar Liya,"Vishal Mishra, Shilpa Rao",0.0,https://www.youtube.com/watch?v=W3eN3qMqNP4
3dac8b8b-0b77-5356-b779-2fdd97079372,4927165a-d5fe-598a-824f-2c91f6cc464e,4,Jewel Thief Title Track,"Shilpa Rao, Raghav Chaitanya",0.0,https://www.youtube.com/watch?v=biIjwDFKPaI
8d25c3ac-87de-5889-9ea9-e375de41f36d,5a7c95e1-3101-546e-90fe-ac94a9978050,1,Jitne Apne The Sab Paraye The,Rabbi Shergill,0.0,https://www.youtube.com/watch?v=_4x9RePjV4s
ae3d3a65-5860-5b2f-90b8-481a41e094ca,13a5ee14-0330-50dd-b11a-f59e98040698,1,Jo Zindagi Tha Meri Ghair Ho Gaya,Shaan,0.0,https://www.youtube.com/watch?v=1F3ZYgZEJxw
a2c87d06-6012-5dd0-ac01-75d0814a9322,31940fdb-77e7-5c64-b879-fa12af7d642d,1,Fikar Na Kar Tera Bhai Vakeel Hai,"Aman Pant, KD Desirock",0.0,https://www.youtube.com/watch?v=1wBHxYJLSrY
b63b137b-314e-522c-bcdd-61cefa34cf16,31940fdb-77e7-5c64-b879-fa12af7d642d,2,Glass Uchhi Rakhey,"Meggha Bali, Channa Ghuman, Karan Kapadia, Vikram Montrose",3.0,https://www.youtube.com/watch?v=XK579bHmGLI
577e453c-a1cf-54c0-81f5-da8cb0cadc06,31940fdb-77e7-5c64-b879-fa12af7d642d,3,Ichakdana,"Divya Kumar, Pardhaan",0.0,https://www.youtube.com/watch?v=T4xUjgSkfSk
c1a6335b-00aa-5637-b68f-b98ed5871f99,31940fdb-77e7-5c64-b879-fa12af7d642d,4,Hua Naa Ae Watan Tu Kyun Hamara Hua Naa,Papon,3.0,https://www.youtube.com/watch?v=7QPPQ_S1c5E
d9eca1d2-bb27-5a72-9dea-f440c5888540,1fa1029c-651f-572b-8509-2b2f47dbb297,1,Jugnuma (Taaron Ka Aasma Jugnu Ka Rela Hai),Piyush Mishra,3.0,https://www.youtube.com/watch?v=BNVdhf_Llg4
66d03726-d18a-57d1-ac08-cb60dd2f600c,87b7adb0-e52e-5e12-91f6-1093d60eaea0,1,Julmi Saanwariya,"Bhoomi Trivedi, Amit Trivedi",3.0,https://www.youtube.com/watch?v=gIAnT0Ivh74
5f20a7d9-8260-55a7-bad5-9d417ede647e,ce4d0141-7a86-594e-ae7b-332dedb0c304,1,Dil Banjaara,Raghav Chaitanya,3.0,https://www.youtube.com/watch?v=lTfcoCVv0Us
8148955a-276d-57fb-9c87-321d6e73820f,ce4d0141-7a86-594e-ae7b-332dedb0c304,2,Hasin Pareshaaniyaan,"Jubin Nautiyal, Shahid Mallya, Deepali Sathe",0.0,https://www.youtube.com/watch?v=qczYmgCSWgQ
691d509c-21d9-572f-a00e-6985aecb737a,ce4d0141-7a86-594e-ae7b-332dedb0c304,3,Hans Ke Jaane De,"Chirag Kotwal, Amit Trivedi",0.0,https://www.youtube.com/watch?v=LuuO5kv3dlA
0b819427-80d6-5633-af8f-68954b36e54f,ec9cab2e-94d7-5f79-a9df-672c55b96e10,1,Kabhi Tum,Raj Barman,0.0,https://www.youtube.com/watch?v=gqVH315DKAg
cb8daaa1-1ba0-589f-bad3-b948cb4f61ee,dd07dca3-4f37-51c6-862d-db652d9295ea,1,Kahani Meri Kahan Ja Rahi Hai,Sonu Nigam,0.0,https://www.youtube.com/watch?v=Ene0kt_jXX0
c241c42a-945e-5f4e-b13a-0ca52787947d,24108320-66f3-5fb6-a288-f6dfc02a511e,1,Hum Hain Velle,Ajay Jayanthi,0.0,https://www.youtube.com/watch?v=E9i8ywi8rw8
bc9793e6-5b67-55d7-8b7a-de2291d67be0,24108320-66f3-5fb6-a288-f6dfc02a511e,2,Titli,"Mika Singh, Nikhita Gandhi",0.0,https://www.youtube.com/watch?v=CCjttGAXkjM
a4a09b3c-9889-58d7-ad1f-04c5287d26eb,24108320-66f3-5fb6-a288-f6dfc02a511e,3,Jaa Re Balaa,"Ajay Jayanthi, MxRZI",0.0,https://www.youtube.com/watch?v=_Ye_wwz5HKQ
26537a75-11a7-50ee-a247-5555b6b1c8dc,24108320-66f3-5fb6-a288-f6dfc02a511e,4,Aatmaji Chale Jaaiye,"MxRZI, Ajay Jayanthi",0.0,https://www.youtube.com/watch?v=51k5rMREvXs
aa83c1be-9fe3-5ee1-9c84-2a52af106f26,24108320-66f3-5fb6-a288-f6dfc02a511e,5,Zindagi Kya Hai Tu Aazmaa Le,"Anand Bhaskar, Ramya Kirtana, Ajay Jayanthi",0.0,https://www.youtube.com/watch?v=8bTQo1CZUIQ
3beae383-d85e-5d4c-bb08-ed74867238b3,24108320-66f3-5fb6-a288-f6dfc02a511e,6,Yaara Ve,Ajay Jayanthi,3.0,https://www.youtube.com/watch?v=E7Ms4lDXXpQ
f1cbaed7-7e43-5791-b887-dd0fa8613136,24108320-66f3-5fb6-a288-f6dfc02a511e,7,Yaara Ve (Reprised Version),Savera Mehta,3.0,https://www.youtube.com/watch?v=zoFGoI95p5Y
47decfe7-7d7e-57fe-9f04-fec689a91bd2,4256031a-7a7f-5ce2-87a1-3f995692afde,1,Mann Ye Bawra,"Supriyaa Paathak, Farhad Bhiwandiwala",0.0,https://www.youtube.com/watch?v=9nJZ4hQLjHs
4c29a062-5c41-5cf1-9108-1dbc9644db49,4256031a-7a7f-5ce2-87a1-3f995692afde,2,Waqt Ki Baatein Waqt Hi Jaane,Ashish Chhabra,0.0,https://www.youtube.com/watch?v=pe2Da774PKc
e19784eb-9fea-596b-88a5-c76867a4a6a0,4256031a-7a7f-5ce2-87a1-3f995692afde,3,Zihal-E-Miskin,"Saroj Suman, Ali Aslam Shah, Tanya Dev Gupta, Farhad Bhiwandiwala, Vikram Montrose",0.0,https://www.youtube.com/watch?v=8ptVPWhVXBo
6cff7bfb-0e48-5195-8792-0c2d8897f1bb,4256031a-7a7f-5ce2-87a1-3f995692afde,4,Slomo Mein Naach Kudiye,"Farhad Bhiwandiwala, Rukhsar Bandhukia, Abhinav Shekhar",0.0,https://www.youtube.com/watch?v=9rjKn3kasVY
aceb3926-8c61-51f5-9587-ecc0e4aadb43,648531f6-606b-5f03-bc91-1bc4fb7643e1,1,Keh Do Na,Rekha Bhardwaj,3.0,https://www.youtube.com/watch?v=vdkYcOZXIks
eadfcefc-7187-57d7-ac56-09609a45e203,9fc41369-42e2-5c1f-9b9b-866de3853db7,1,O Shera - Teer Te Taj (Film Version),"Manmohan Waris, Kamal Heer, Sangtar",0.0,https://www.youtube.com/watch?v=hXMjKVKO18g
609c0331-fbeb-5079-a0d3-51bdc4009f5d,9fc41369-42e2-5c1f-9b9b-866de3853db7,2,Kithe Gaya Tu Saaiyaan,"Shashwat Sachdev, Shanya Kashyap",0.0,https://www.youtube.com/watch?v=GutPph9az2s
f35b0595-aaa0-56e0-91d2-e6f9a563e643,9fc41369-42e2-5c1f-9b9b-866de3853db7,3,Mere Naal Naal Mera Parwardigara,"Ajoy Chakrabarty, Jubin Nautiyal, Garvit Soni",0.0,https://www.youtube.com/watch?v=rAuHND7sC3c
aeffdf62-4792-5505-ab12-20d4bbcf5330,9fc41369-42e2-5c1f-9b9b-866de3853db7,4,Cyclone You Cannot Stop,King,0.0,https://www.youtube.com/watch?v=EecaX3X84i8
cb48e60c-70a7-50d1-9e18-739040a4c384,9fc41369-42e2-5c1f-9b9b-866de3853db7,5,Main Hi Ishq Hoon,Sanjith Hegde,3.0,https://www.youtube.com/watch?v=ppiNeg1S0zQ
34cd08ba-3aa3-5205-9eb6-192abf4ffb89,9fc41369-42e2-5c1f-9b9b-866de3853db7,6,Mere Naal Naal Mera Parwardigara (Sufi Version),"Ajoy Chakrabarty, Jubin Nautiyal, Garvit Soni",0.0,https://www.youtube.com/watch?v=rAuHND7sC3c
0087e23d-a799-5432-b175-237ca29e5dc2,9fc41369-42e2-5c1f-9b9b-866de3853db7,7,Khumaari (Beqarari Hi Beqarari Hai),Kavita Seth,0.0,https://www.youtube.com/watch?v=53Mqu3l32U0
84ce71af-392e-58cd-bfe1-9a0077e15df2,9fc41369-42e2-5c1f-9b9b-866de3853db7,8,Dheere Dheere Lamha Lamha Beetegi Raina,"Sonu Nigam, Sanjith Hegde",0.0,https://www.youtube.com/watch?v=WCTP-pdtxDs
e7d4eb36-53e1-5f80-988d-a80af61bc83f,957de30f-3d83-560e-a38e-a1c0767e027b,1,Dholida Dhol Nagada,"Sunidhi Chauhan, Kirtidan Gadhvi, Gaurav Chati",0.0,https://www.youtube.com/watch?v=cH-hY8ke3ac
b2a74902-e5c0-5e43-870e-5dff9ff5afac,957de30f-3d83-560e-a38e-a1c0767e027b,2,Bharatvarsh Anthem,Suvarna Tiwari,0.0,https://www.youtube.com/watch?v=9AjxPHUR0kQ
7206d680-1965-5678-a6c2-160bce5e3280,957de30f-3d83-560e-a38e-a1c0767e027b,3,Pighal Ke Panahon Mein,"Shaan, Neeti Mohan",0.0,https://www.youtube.com/watch?v=xSV6os_8f7Q
40d8daba-e713-5349-9e2e-419dc8400f74,957de30f-3d83-560e-a38e-a1c0767e027b,4,Bandh Jaayen Hum Tum Kesari Bandhan Mein,Sonu Nigam,0.0,https://www.youtube.com/watch?v=P1sua1jednU
61d92090-c3ac-5f09-ba92-4b5a107e68d6,957de30f-3d83-560e-a38e-a1c0767e027b,5,Kasumbi No Rang,Kirtidan Gadhvi,0.0,https://www.youtube.com/watch?v=QofsIQ1fahw
e5f4de7d-bfdf-5264-94c4-a9dd95832b26,957de30f-3d83-560e-a38e-a1c0767e027b,6,Shambhu Har Har,Kailash Kher,0.0,https://www.youtube.com/watch?v=cIWpmNt-jzk
e25e3b5b-28a7-5151-9137-5578f2e5e2b4,957de30f-3d83-560e-a38e-a1c0767e027b,7,Marasiya,Sanchari Sengupta,0.0,https://www.youtube.com/watch?v=t5SGbL7G-gA
bf62ac89-378c-551d-b52f-db5cf4c346c5,2a448446-2679-52de-b8a8-7a8825d9b301,1,Koi Unko Yeh Bata De,"Nakash Aziz, Navanita Sharma",0.0,https://www.youtube.com/watch?v=LVUxOIbhEZY
c1b97cf0-3416-5f84-ae5b-3fd1152e98cf,4d38b23b-f640-5bf7-bdef-0dc755b57d46,1,Kokaina,"Badshah, Simiran Kaur Dhadli",0.0,https://www.youtube.com/watch?v=N8vNRf2bA-Q
f950d5c1-9ea4-5412-ba6e-c0abaf621948,93603478-e227-5070-a3ac-57073e4da726,1,Koyal Bole Amwa Ki Daar,"Javed Ali, DigV, Vidhya Gopal",0.0,https://www.youtube.com/watch?v=ChsExZWxrG0
06d29077-5ff3-5d6d-a486-7386edb3eed6,2258a605-e530-5010-805a-4a4325581863,1,Laage Naa Tere Bina Piya,"Javed Ali, Roshni Banerjee",3.0,https://www.youtube.com/watch?v=AYCsWQ2VgLs
4b4ed56b-3f21-5e58-af2b-db8439ff9e03,fc7457f6-45e4-574c-b1b6-54eccc58863a,1,Teri Pehli Nazar,Raghav Chaitanya,3.0,https://www.youtube.com/watch?v=ErPO5PTHde4
