album_uuid,album_title,album_year,album_category,album_music_director,album_lyricist,album_label,album_rating
e2d848e6-99fd-55eb-a3c6-6b7cb7b2f3c6,Madhur Milan,1955,"Hindi, Film",Bulo C. Rani,"Shyam Hindi, S.H. Bihari, D.N. Madhok, Raja Mehdi Ali Khan, Jan Nisar Akhtar, Farooq Qaiser, Nigar",H.M.V.,0
e79ab56c-8115-5bf4-b450-c4731b2573ef,Mahasati Savitri,1955,"Hindi, Film",Chitragupt,Gopal Singh Nepali,H.M.V.,0
6b731bd8-e769-55a5-8d4b-213eca815180,Mano Na Mano (Andhkar),1955,"Hindi, Film",Hansraj Behl,"Indeevar, Kaif Irfani",H.M.V.,0
86cd05e6-aa49-542e-9507-41012813b475,Marine Drive,1955,"Hindi, Film",Datta Naik,"Sahir Ludhianvi, Qamar Jalalabadi",H.M.V.,3.0
4685238b-9627-5f93-9ff3-eb8df380fbfa,Mast Qalandar,1955,"Hindi, Film",Hansraj Behl,"Asad Bhopali, Naqsh Lyallpuri",H.M.V.,0
c5300d55-cc42-5928-a656-bc3e7b20c094,Mastani,1955,"Hindi, Film",B.N. Bali,"Omar Khayyam Saharanpuri, Raja Mehdi Ali Khan, B.D. Mishra",H.M.V.,3.0
26a34222-f294-52d5-a247-7fc568e3d81e,Milap,1955,"Hindi, Film",Datta Naik,Sahir Ludhianvi,H.M.V.,0
f92b7b00-cc0c-52a1-9845-4fde249e075e,Miss Coca Cola,1955,"Hindi, Film",O.P. Nayyar,Majrooh Sultanpuri,H.M.V.,0
b1aed759-10f8-5f9d-836b-239e65f3580e,Mr. & Mrs. '55,1955,"Hindi, Film",O.P. Nayyar,"Majrooh Sultanpuri, Saroj Mohini Nayyar",H.M.V.,5.0
d4d64d0e-6a1c-5fea-add6-236144dcd0fd,Munimji,1955,"Hindi, Film",S.D. Burman,"Sahir Ludhianvi, Shailendra",H.M.V.,4.7
cd27ec5c-7b2d-5da8-81ef-d12e6c355a55,Musafir Khana,1955,"Hindi, Film",O.P. Nayyar,Majrooh Sultanpuri,H.M.V.,3.0
82c704c4-ea8c-5685-b6f6-396817d297a2,Naata,1955,"Hindi, Film",S. Mohinder,"Tanveer Naqvi, Kaifi Azmi",H.M.V.,3.0
a3b5eb33-8cb4-5171-bfe7-ac61dc9bde8a,Naqab,1955,"Hindi, Film",Govind Ram,Prem Dhawan,H.M.V.,0
b90393a4-5084-5655-a174-6f567ad8f501,Navratri,1955,"Hindi, Film",Chitragupt,"Bharat Vyas, Gopal Singh Nepali",H.M.V.,0
4d3f5cf0-ef9e-57e2-a135-88a0d7c3f287,Oonchi Haveli,1955,"Hindi, Film",Shivram,Bharat Vyas,H.M.V.,0
f3b92fe8-9823-5629-bf54-27c77bf02d9a,Oot Patang,1955,"Hindi, Film",Vinod,D.N. Madhok,H.M.V.,3.0
ba8b1475-0895-5503-a91b-75bc3f94df42,Patit Pawan,1955,"Hindi, Film",Jamal Sen,Bharat Vyas,H.M.V.,0
f66b0e7e-89e8-5168-af6a-b96014750c0d,Post Master,1955,"Hindi, Film",Ram Ganguly,Verma Malik,H.M.V.,0
59bc52f6-1bb4-5c88-bc9f-d7930869dede,Prabhu Ki Maya,1955,"Hindi, Film",Ravi,"Pandit Madhur, Saraswati Kumar Deepak",H.M.V.,0
54a91f5a-5839-56f2-ae77-07b7a5818eee,Pyara Dushman,1955,"Hindi, Film",Nisar,Saba Afghani,H.M.V.,0
66fa5e2a-c308-524c-9646-1f93129a1bc2,Raftar,1955,"Hindi, Film",Shivram,J. Nakhshab,H.M.V.,0
26160aea-45cc-51a4-ab2c-f32ccaa6a326,Railway Platform,1955,"Hindi, Film",Madan Mohan,Sahir Ludhianvi,H.M.V.,4.0
2087d8b6-dc7f-51a1-b474-7dae8df10532,Raj Kanya,1955,"Hindi, Film",Chitragupt,Gopal Singh Nepali,H.M.V.,0
afe76591-cd4f-5b31-8646-5d9626f28c87,Rajdarbar,1955,"Hindi, Film",Chitragupt,"Shyam Hindi, Gopal Singh Nepali",H.M.V.,0
8ff23772-d7bd-595c-9032-7e80189808db,Ratna Ghar,1955,"Hindi, Film",Sudhir Phadke,Narendra Sharma,H.M.V.,0
f09eb213-7214-545c-a441-8d57039f2ee7,Ratnamanjari,1955,"Hindi, Film",S.N. Tripathi,B.D. Mishra,H.M.V.,0
499bd11f-d9b0-5f45-aec4-8929a09abc86,Riyasat,1955,"Hindi, Film",Avinash Vyas,"Prem Dhawan, Shyam Hindi",H.M.V.,0
10deb1a1-6954-5074-86bd-59ceec28ae4c,Roop Basant,1955,"Hindi, Film",Dhaniram,Gafil Harnalvi,H.M.V.,0
ac513596-c53c-53a5-8151-6c25451ba8ef,Rukhsana,1955,"Hindi, Film",Sajjad Hussain,"Khumar Barabankvi, Shakeel Badayuni, Tanveer Naqvi",H.M.V.,3.0
74f25ebf-e4e4-5f57-8abe-16833c934bfb,Sabse Bada Rupaiya,1955,"Hindi, Film","O.P. Nayyar, Nashad","Majrooh Sultanpuri, P.L. Santoshi",H.M.V.,0
66bcbfc8-19cb-5a7f-ab73-8fa69e973eb7,Sakhi Hatim,1955,"Hindi, Film",A.R. Qureshi,"Shewan Rizvi, Kaifi Azmi",H.M.V.,0
f7a5fc75-ae53-5351-999c-cdd5064610dd,Sakhi Lootera,1955,"Hindi, Film",Iqbal,Farooq Qaiser,H.M.V.,0
f3710d6c-3551-5014-b3f9-36c7cbf72926,Salaam-E-Mohabbat,1955,"Hindi, Film",Bipin - Babul,Anjum Jaipuri,H.M.V.,0
a4483919-0412-531e-8a27-188f02f1ebf0,Sardar,1955,"Hindi, Film",Jagmohan Sursagar,"Uddhav Kumar, Vrajendra Gaur, Kaif Irfani",H.M.V.,0
